"Ticker","Nome","Negócios","Última (R$)","Variação"
"COGN3","Cogna","87.750.500","1,42","+12,70%"
"AZUL4","Azul","71.358.000","6,18","+7,48%"
"B3SA3","B3","46.472.500","10,70","+1,42%"
"PDGR3","PDG Realty","46.372.400","0,01","-50,00%"
"HAPV3","Hapvida","45.127.900","3,94","-0,76%"
"VALE3","Vale","37.988.900","61,12","-3,03%"
"ABEV3","Ambev","35.980.500","13,08","-0,68%"
"PETR4","Petrobras","33.969.300","37,60","-2,01%"
"IFCM3","Infracommerce","26.741.600","0,17","+6,25%"
"ITUB4","Itaú Unibanco","23.090.300","35,35","+0,60%"
"BBDC4","Banco Bradesco","22.381.700","15,22","+0,13%"
"USIM5","Usiminas","21.814.600","6,02","-4,14%"
"GOLL4","GOL","18.985.900","1,06","+0,95%"
"MGLU3","Magazine Luiza","18.493.400","9,57","+0,63%"
"ASAI3","Assaí","17.926.800","6,82","+0,74%"
"ITSA4","Itaúsa","17.489.200","10,66","+0,00%"
"PCAR3","Grupo Pão de Açúcar","15.193.900","3,00","+4,90%"
"NTCO3","Natura","12.985.300","15,75","+3,41%"
"CPLE6","Copel","12.600.500","10,20","+0,99%"
"MRVE3","MRV","12.342.700","7,89","+2,07%"
"CVCB3","CVC","12.256.700","1,84","+1,10%"
"BBAS3","Banco do Brasil","11.704.100","26,98","-0,04%"
"CMIN3","CSN Mineração","11.338.700","6,05","-3,66%"
"GGBR4","Gerdau","11.284.900","19,08","-1,75%"
"RAIZ4","Raízen","10.629.000","3,02","-0,66%"
"RAIL3","Rumo","10.453.800","19,65","-1,40%"
"CMIG4","CEMIG","10.400.000","11,16","-0,27%"
"CSNA3","Siderúrgica Nacional","10.246.200","12,16","-4,70%"
"CRFB3","Carrefour Brasil","10.123.500","7,92","+0,13%"
"PRIO3","PetroRio","10.103.800","44,11","-3,12%"
"VAMO3","Grupo Vamos","10.013.900","5,68","+0,35%"
"YDUQ3","YDUQS","9.164.300","10,69","+5,32%"
"CCRO3","Grupo CCR","8.576.300","12,13","-1,54%"
"CSAN3","Cosan","8.559.900","12,80","-1,92%"
"ENEV3","Eneva","8.359.300","14,06","+0,64%"
"VBBR3","Vibra Energia","8.179.300","23,28","+0,39%"
"STBP3","Santos Brasil","7.951.500","14,65","-0,20%"
"PETR3","Petrobras","7.570.000","41,15","-2,16%"
"POMO4","Marcopolo","7.424.000","8,15","+1,24%"
